ano,sigla_uf,id_municipio,quantidade_vinculos_ativos,cnae_2,cnae_2_subclasse
2023,RS,4314902,12,47121,4712100
2023,RS,4314902,63,47121,4712100
2023,RS,4314902,21,47121,4712100
2023,RS,4314902,12,47121,4712100
2023,RS,4314902,13,47121,4712100
2023,RS,4314902,29,47121,4712100
2023,RS,4314902,19,47121,4712100
2023,RS,4314902,41,47121,4712100
2023,RS,4314902,28,47121,4712100
2023,RS,4314902,13,47121,4712100
2023,RS,4314902,23,47237,4723700
2023,RS,4314902,13,47237,4723700
2023,RS,4314902,17,47237,4723700
2023,RS,4314902,20,47245,4724500
2023,RS,4314902,13,47296,4729699
2023,RS,4314902,33,47296,4729699
2023,RS,4314902,17,47296,4729699
2023,RS,4314902,15,47245,4724500
2023,RS,4314902,12,47245,4724500
2023,RS,4314902,16,47814,4781400
2023,RS,4314902,15,47814,4781400
2023,RS,4314902,13,47814,4781400
2023,RS,4314902,54,47814,4781400
2023,RS,4314902,16,47814,4781400
2023,RS,4314902,51,47814,4781400
2023,RS,4314902,12,47814,4781400
2023,RS,4314902,13,47814,4781400
2023,RS,4314902,84,47814,4781400
2023,RS,4314902,22,47814,4781400
2023,RS,4314902,16,47814,4781400
2023,RS,4314902,112,47814,4781400
2023,RS,4314902,21,47814,4781400
2023,RS,4314902,63,47814,4781400
2023,RS,4314902,31,47814,4781400
2023,RS,4314902,69,47814,4781400
2023,RS,4314902,12,47717,4771701
2023,RS,4314902,35,47717,4771701
2023,RS,4314902,20,47717,4771701
2023,RS,4314902,37,47717,4771701
2023,RS,4314902,12,47717,4771701
2023,RS,4314902,16,47717,4771702
2023,RS,4314902,19,47717,4771701
2023,RS,4314902,16,47717,4771702
2023,RS,4314902,13,47717,4771701
2023,RS,4314902,22,47717,4771701
2023,RS,4314902,12,47717,4771701
2023,RS,4314902,15,47717,4771701
2023,RS,4314902,16,47717,4771701
2023,RS,4314902,15,47717,4771701
2023,RS,4314902,15,47717,4771701
2023,RS,4314902,23,47717,4771701
2023,RS,4314902,16,47717,4771701
2023,RS,4314902,17,47717,4771701
2023,RS,4314902,20,47717,4771701
2023,RS,4314902,28,47717,4771701
2023,RS,4314902,12,47717,4771701
2023,RS,4314902,21,47717,4771701
2023,RS,4314902,15,47717,4771702
2023,RS,4314902,19,47717,4771701
2023,RS,4314902,12,47717,4771701
2023,RS,4314902,16,47717,4771701
2023,RS,4314902,13,47717,4771701
2023,RS,4314902,19,47717,4771701
2023,RS,4314902,29,47717,4771701
2023,RS,4314902,13,47717,4771701
2023,RS,4314902,18,47598,4759801
2023,RS,4314902,108,47598,4759899
2023,RS,4314902,15,47547,4754703
2023,RS,4314902,13,47598,4759801
2023,RS,4314902,26,47598,4759899
2023,RS,4314902,13,47547,4754701
2023,RS,4314902,13,47547,4754701
2023,RS,4314902,12,47598,4759899
2023,RS,4314902,24,47423,4742300
2023,RS,4314902,14,47440,4744099
2023,RS,4314902,38,47440,4744099
2023,RS,4314902,58,47440,4744099
2023,RS,4314902,24,47440,4744001
2023,RS,4314902,12,47440,4744099
2023,RS,4314902,13,47440,4744006
2023,RS,4314902,15,47440,4744005
2023,RS,4314902,14,47521,4752100
2023,RS,4314902,31,47512,4751201
2023,RS,4314902,13,47512,4751201
2023,RS,4314902,12,47521,4752100
2023,RS,4314902,13,47512,4751201
2023,RS,4314902,16,47521,4752100
2023,RS,4314902,16,47741,4774100
2023,RS,4314902,288,47571,4757100
2023,RS,4314902,12,47890,4789099
2023,RS,4314902,74,47890,4789099
2023,RS,4314902,31,47890,4789099
2023,RS,4314902,18,47741,4774100
2023,RS,4314902,115,47571,4757100
2023,RS,4314902,12,47890,4789099
2023,RS,4314902,13,47741,4774100
2023,RS,4314902,13,47571,4757100
2023,RS,4314902,18,47890,4789099
2023,RS,4314902,13,56112,5611201
2023,RS,4314902,27,56112,5611201
2023,RS,4314902,15,56112,5611201
2023,RS,4314902,14,56112,5611201
2023,RS,4314902,12,56112,5611201
2023,RS,4314902,14,56112,5611201
2023,RS,4314902,15,56112,5611201
2023,RS,4314902,12,56112,5611201
2023,RS,4314902,33,56112,5611201
2023,RS,4314902,12,56112,5611201
2023,RS,4314902,12,56112,5611201
2023,RS,4314902,42,56112,5611201
2023,RS,4314902,29,56112,5611201
2023,RS,4314902,12,56112,5611201
2023,RS,4314902,12,56112,5611201
2023,RS,4314902,16,56112,5611201
2023,RS,4314902,16,56112,5611201
2023,RS,4314902,18,56112,5611201
2023,RS,4314902,26,56112,5611201
2023,RS,4314902,12,56112,5611201
2023,RS,4314902,34,56112,5611201
2023,RS,4314902,47,56112,5611201
2023,RS,4314902,52,56112,5611201
2023,RS,4314902,15,56112,5611201
2023,RS,4314902,13,56112,5611201
2023,RS,4314902,16,56112,5611201
2023,RS,4314902,26,56112,5611201
2023,RS,4314902,16,56112,5611201
2023,RS,4314902,18,56112,5611201
2023,RS,4314902,12,56112,5611201
2023,RS,4314902,13,56112,5611201
2023,RS,4314902,24,56112,5611201
2023,RS,4314902,14,56112,5611201
2023,RS,4314902,13,56112,5611201
2023,RS,4314902,34,56112,5611201
2023,RS,4314902,15,56112,5611201
2023,RS,4314902,20,56112,5611201
2023,RS,4314902,17,56112,5611201
2023,RS,4314902,26,56112,5611201
2023,RS,4314902,13,56112,5611201
2023,RS,4314902,22,56112,5611201
2023,RS,4314902,13,56112,5611201
2023,RS,4314902,15,56112,5611201
2023,RS,4314902,14,56112,5611203
2023,RS,4314902,12,56112,5611203
2023,RS,4314902,22,56112,5611203
2023,RS,4314902,14,56112,5611203
2023,RS,4314902,14,56112,5611203
2023,RS,4314902,18,56112,5611203
2023,RS,4314902,22,56112,5611203
2023,RS,4314902,56,56112,5611203
2023,RS,4314902,12,56112,5611203
2023,RS,4314902,33,56112,5611203
2023,RS,4314902,23,56201,5620101
2023,RS,4314902,21,56201,5620102
2023,RS,4314902,15,56201,5620101
2023,RS,4314902,12,56201,5620101
2023,RS,4314902,37,56201,5620104
2023,RS,4314902,88,56201,5620101
2023,RS,4314902,22,49302,4930202
2023,RS,4314902,151,49302,4930202
2023,RS,4314902,14,49302,4930202
2023,RS,4314902,14,49302,4930202
2023,RS,4314902,37,49302,4930202
2023,RS,4314902,49,49302,4930202
2023,RS,4314902,408,49302,4930202
2023,RS,4314902,20,49302,4930202
2023,RS,4314902,28,49302,4930202
2023,RS,4314902,82,49302,4930202
2023,RS,4314902,126,49302,4930201
2023,RS,4314902,40,49302,4930201
2023,RS,4314902,16,49302,4930202
2023,RS,4314902,19,49302,4930202
2023,RS,4314902,13,49302,4930202
2023,RS,4314902,17,66223,6622300
2023,RS,4314902,15,66223,6622300
2023,RS,4314902,36,66215,6621501
2023,RS,4314902,17,66223,6622300
2023,RS,4314902,13,66223,6622300
2023,RS,4314902,13,66223,6622300
2023,RS,4314902,13,66223,6622300
2023,RS,4314902,26,66223,6622300
2023,RS,4314902,22,66223,6622300
2023,RS,4314902,326,81117,8111700
2023,RS,4314902,15,68218,6821802
2023,RS,4314902,82,81117,8111700
2023,RS,4314902,30,81117,8111700
2023,RS,4314902,18,81117,8111700
2023,RS,4314902,15,81117,8111700
2023,RS,4314902,15,81117,8111700
2023,RS,4314902,88,68218,6821802
2023,RS,4314902,131,81117,8111700
2023,RS,4314902,97,68226,6822600
2023,RS,4314902,28,68218,6821802
2023,RS,4314902,14,81117,8111700
2023,RS,4314902,55,81117,8111700
2023,RS,4314902,52,81117,8111700
2023,RS,4314902,16,68226,6822600
2023,RS,4314902,19,81117,8111700
2023,RS,4314902,38,81117,8111700
2023,RS,4314902,26,81117,8111700
2023,RS,4314902,18,68226,6822600
2023,RS,4314902,32,81117,8111700
2023,RS,4314902,375,68226,6822600
2023,RS,4314902,16,81117,8111700
2023,RS,4314902,53,81117,8111700
2023,RS,4314902,14,81117,8111700
2023,RS,4314902,99,68226,6822600
2023,RS,4314902,44,68218,6821802
2023,RS,4314902,12,81125,8112500
2023,RS,4314902,14,81125,8112500
2023,RS,4314902,19,81125,8112500
2023,RS,4314902,14,81125,8112500
2023,RS,4314902,117,81125,8112500
2023,RS,4314902,13,81125,8112500
2023,RS,4314902,12,81125,8112500
2023,RS,4314902,184,62091,6209100
2023,RS,4314902,98,62091,6209100
2023,RS,4314902,14,62091,6209100
2023,RS,4314902,146,69117,6911701
2023,RS,4314902,93,69117,6911701
2023,RS,4314902,54,69125,6912500
2023,RS,4314902,21,69117,6911701
2023,RS,4314902,104,69117,6911701
2023,RS,4314902,33,69117,6911701
2023,RS,4314902,16,69117,6911701
2023,RS,4314902,36,69117,6911701
2023,RS,4314902,38,69117,6911701
2023,RS,4314902,168,69117,6911701
2023,RS,4314902,25,69206,6920601
2023,RS,4314902,32,69206,6920601
2023,RS,4314902,17,69206,6920601
2023,RS,4314902,14,69206,6920601
2023,RS,4314902,12,69206,6920601
2023,RS,4314902,40,69206,6920601
2023,RS,4314902,17,64620,6462000
2023,RS,4314902,12,70204,7020400
2023,RS,4314902,49,74901,7490103
2023,RS,4314902,39,70204,7020400
2023,RS,4314902,29,70204,7020400
2023,RS,4314902,30,71197,7119799
2023,RS,4314902,31,71120,7112000
2023,RS,4314902,24,71120,7112000
2023,RS,4314902,20,71120,7112000
2023,RS,4314902,20,71120,7112000
2023,RS,4314902,36,71120,7112000
2023,RS,4314902,12,71111,7111100
2023,RS,4314902,49,71120,7112000
2023,RS,4314902,20,71120,7112000
