ano,id_municipio,quantidade_vinculos_ativos,cnae_2,cep
2023,4314902,60,49302,91150170
2023,4314902,17,46648,90690140
2023,4314902,34,77403,90810080
2023,4314902,31,47610,90810080
2023,4314902,26,32990,90230091
2023,4314902,25,52231,90230090
2023,4314902,43,61906,91040330
2023,4314902,17,86216,91900000
2023,4314902,16,11135,91340110
2023,4314902,92,23303,91270650
2023,4314902,138,85201,91180000
2023,4314902,18,95118,90220040
2023,4314902,38,46346,91225002
2023,4314902,103,47113,91790000
2023,4314902,23,96017,90450071
2023,4314902,21,46451,90200310
2023,4314902,130,80111,91130120
2023,4314902,16,62023,90410003
2023,4314902,909,80111,90230070
2023,4314902,43,78108,91712320
2023,4314902,25,51129,91020000
2023,4314902,13,46443,90570041
2023,4314902,17,87115,90470170
2023,4314902,16,64239,90650003
2023,4314902,149,20631,91130630
2023,4314902,37,63194,90430001
2023,4314902,29,47822,90020009
2023,4314902,24,80200,91330000
2023,4314902,51,85325,90110000
2023,4314902,13,46656,91540000
2023,4314902,69,62015,90035077
2023,4314902,28,81214,91760050
2023,4314902,29,52320,90020160
2023,4314902,90,78205,91350160
2023,4314902,64,42111,90240600
2023,4314902,85,85139,91920030
2023,4314902,578,84116,90010395
2023,4314902,24,85317,90035051
2023,4314902,33,85121,91340380
2023,4314902,25,85317,90450120
2023,4314902,25,88006,91790020
2023,4314902,40,62015,90010272
2023,4314902,96,62031,90690430
2023,4314902,179,47113,90035091
2023,4314902,51,95118,90230061
2023,4314902,12,47822,90110001
2023,4314902,16,46893,91030300
2023,4314902,17,86402,91900000
2023,4314902,39,31012,91040440
2023,4314902,13,77292,90230180
2023,4314902,14,25128,91140410
2023,4314902,25,46842,90480000
2023,4314902,16,80111,91740001
2023,4314902,205,80111,90240470
2023,4314902,13,46443,90245050
2023,4314902,19,46346,90480000
2023,4314902,106,62015,90619900
2023,4314902,36,55108,90570140
2023,4314902,32,80200,90038900
2023,4314902,33,86402,91130490
2023,4314902,12,64221,90480002
2023,4314902,70,47113,91310003
2023,4314902,18,85112,90520100
2023,4314902,57,47539,91910001
2023,4314902,221,47113,90560004
2023,4314902,3033,64221,90010040
2023,4314902,27,23915,91240260
2023,4314902,12,47130,90030003
2023,4314902,12,95126,90220000
2023,4314902,12,77322,91910001
2023,4314902,170,84116,90110900
2023,4314902,15,85112,90670150
2023,4314902,156,50211,90250700
2023,4314902,18,47211,90680570
2023,4314902,40,01156,90450090
2023,4314902,19,81303,90220150
2023,4314902,173,14126,90200210
